"","country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","id","mob_all_except_residential_change_from_baseline","mob_transit_work_change_from_baseline","mob_transit_work_grocert_pharmacy_retail_change_from_baseline","retail_and_recreation_percent_change_from_baseline_7dma","grocery_and_pharmacy_percent_change_from_baseline_7dma","parks_percent_change_from_baseline_7dma","transit_stations_percent_change_from_baseline_7dma","workplaces_percent_change_from_baseline_7dma","residential_percent_change_from_baseline_7dma","mob_all_except_residential_change_from_baseline_7dma","mob_transit_work_change_from_baseline_7dma","mob_transit_work_grocert_pharmacy_retail_change_from_baseline_7dma","level"
"1343662","IT","Italy","Lombardy",NA,NA,"IT-25",NA,2020-02-15,2,-1,50,8,-2,-1,"Italy_Lombardy_NA_NA",11.4,3,1.75,2.25,-3.5,61,14.25,-3.75,-1,14.05,5.25,0.875,"Sub-national"
"1343914","IT","Italy","Lombardy",NA,NA,"IT-MI",NA,2020-02-15,-1,-2,32,3,-1,-1,"Italy_Lombardy_NA_NA",6.2,1,-0.25,2,-4,56.6,14.6,-3,-1,13.24,5.8,-0.6875,"Sub-national"
"1344166","IT","Italy","Lombardy",NA,NA,"IT-BG",NA,2020-02-15,4,-7,28,8,-1,-1,"Italy_Lombardy_NA_NA",6.4,3.5,1,2.16666666666667,-4.16666666666667,50.8333333333333,15,-2.33333333333333,-1,12.3,6.33333333333333,-0.8125,"Sub-national"
"1344418","IT","Italy","Lombardy",NA,NA,"IT-BS",NA,2020-02-15,4,-4,134,38,-11,-1,"Italy_Lombardy_NA_NA",32.2,13.5,6.75,2.57142857142857,-4.57142857142857,50.5714285714286,14.4285714285714,-1.85714285714286,-1,12.2285714285714,6.28571428571429,3.5625,"Sub-national"
"1344670","IT","Italy","Lombardy",NA,NA,"IT-CO",NA,2020-02-15,1,-6,39,16,0,-1,"Italy_Lombardy_NA_NA",10,8,2.75,3.28571428571429,-6.28571428571429,45.2857142857143,13.8571428571429,-1.42857142857143,-1,10.9428571428571,6.21428571428571,0.8125,"Sub-national"
"1344922","IT","Italy","Lombardy",NA,NA,"IT-CR",NA,2020-02-15,3,-5,22,17,1,-1,"Italy_Lombardy_NA_NA",7.6,9,4,4.57142857142857,-5.71428571428571,49.2857142857143,15.2857142857143,-1.28571428571429,-1,12.4285714285714,7,3.0625,"Sub-national"
"1345174","IT","Italy","Lombardy",NA,NA,"IT-LC",NA,2020-02-15,5,-7,49,11,1,-1,"Italy_Lombardy_NA_NA",11.8,6,2.5,3.85714285714286,-5.14285714285714,51.1428571428571,14.1428571428571,-1.28571428571429,-1,12.5428571428571,6.42857142857143,0.5,"Sub-national"
"1345426","IT","Italy","Lombardy",NA,NA,"IT-LO",NA,2020-02-15,7,-13,13,4,1,-1,"Italy_Lombardy_NA_NA",2.4,2.5,-0.25,3.71428571428571,-5.14285714285714,35.4285714285714,8.57142857142857,0.285714285714286,-1,8.57142857142857,4.42857142857143,-1.75,"Sub-national"
"1345678","IT","Italy","Lombardy",NA,NA,"IT-MN",NA,2020-02-15,8,2,60,13,0,-1,"Italy_Lombardy_NA_NA",16.6,6.5,5.75,4.14285714285714,-4,34.7142857142857,6.85714285714286,0.142857142857143,-0.857142857142857,8.37142857142857,3.5,5,"Sub-national"
"1345930","IT","Italy","Lombardy",NA,NA,"IT-MB",NA,2020-02-15,-1,-3,41,0,-1,-1,"Italy_Lombardy_NA_NA",7.2,-0.5,-1.25,3.85714285714286,-3,35,5,0,-0.714285714285714,8.17142857142857,2.5,0.1875,"Sub-national"
