country,region,region_code,province,province_code,comune,comune_code,population,total_deaths,expected_deaths,excess_deaths,excess_deaths_pct,excess_deaths_per_100,cases_2020_09_01,cases_2020_10_25,second_wave_cases,second_wave_cases_per_100k
Italy,Lombardy,3,Bergamo,16,Cisano Bergamasco,16074,6318,40,15.6,24.4,1.56410256410256,0.386198163975942,65,70,5,79.1389680278569
Italy,Lombardy,3,Bergamo,16,Ciserano,16075,5560,41,14,27,1.92857142857143,0.485611510791367,62,75,13,233.812949640288
Italy,Lombardy,3,Bergamo,16,Cividate al Piano,16076,5176,54,20,34,1.7,0.656877897990727,77,83,6,115.919629057187
Italy,Lombardy,3,Bergamo,16,Clusone,16077,8607,139,33.8,105.2,3.11242603550296,1.22226095038922,191,225,34,395.027303357732
Italy,Lombardy,3,Bergamo,16,Colere,16078,1120,7,4.4,2.6,0.590909090909091,0.232142857142857,24,24,0,0
Italy,Lombardy,3,Bergamo,16,Cologno al Serio,16079,11184,84,29.2,54.8,1.87671232876712,0.489985693848355,118,131,13,116.23748211731
Italy,Lombardy,3,Bergamo,16,Colzate,16080,1664,16,5.8,10.2,1.75862068965517,0.612980769230769,39,41,2,120.192307692308
Italy,Lombardy,3,Bergamo,16,Comun Nuovo,16081,4419,26,7.4,18.6,2.51351351351351,0.420909708078751,45,49,4,90.5182167911292
Italy,Lombardy,3,Bergamo,16,Corna Imagna,16082,925,3,2,1,0.5,0.108108108108108,16,16,0,0
Italy,Lombardy,3,Bergamo,16,Cortenuova,16083,1932,15,4.8,10.2,2.125,0.527950310559006,23,25,2,103.51966873706
Italy,Lombardy,3,Bergamo,16,Costa di Mezzate,16084,3391,26,7,19,2.71428571428571,0.560306694190504,27,27,0,0
Italy,Lombardy,3,Bergamo,16,Costa Serina,16247,900,10,3.2,6.8,2.125,0.755555555555556,14,14,0,0
Italy,Lombardy,3,Bergamo,16,Costa Valle Imagna,16085,576,12,3.8,8.2,2.15789473684211,1.42361111111111,9,9,0,0
Italy,Lombardy,3,Bergamo,16,Costa Volpino,16086,9063,88,31.4,56.6,1.80254777070064,0.624517268012799,97,105,8,88.270991945272
Italy,Lombardy,3,Bergamo,16,Covo,16087,4109,34,10.4,23.6,2.26923076923077,0.574348990021903,51,58,7,170.357751277683
Italy,Lombardy,3,Bergamo,16,Credaro,16088,3497,22,6.6,15.4,2.33333333333333,0.440377466399771,31,33,2,57.1918787532171
Italy,Lombardy,3,Bergamo,16,Curno,16089,7534,45,18.8,26.2,1.3936170212766,0.347756835678259,93,106,13,172.551101672418
Italy,Lombardy,3,Bergamo,16,Cusio,16090,238,4,1,3,3,1.26050420168067,5,5,0,0
Italy,Lombardy,3,Bergamo,16,Dalmine,16091,23610,199,62.2,136.8,2.19935691318328,0.579415501905972,328,386,58,245.65861922914
Italy,Lombardy,3,Bergamo,16,Dossena,16092,908,10,3.6,6.4,1.77777777777778,0.704845814977974,19,19,0,0
Italy,Lombardy,3,Bergamo,16,Endine Gaiano,16093,3435,29,13.8,15.2,1.10144927536232,0.442503639010189,45,47,2,58.2241630276565
Italy,Lombardy,3,Bergamo,16,Entratico,16094,1999,19,5,14,2.8,0.700350175087544,23,24,1,50.0250125062531
Italy,Lombardy,3,Bergamo,16,Fara Gera d'Adda,16096,8024,36,21,15,0.714285714285714,0.186939182452642,62,84,22,274.177467597208
Italy,Lombardy,3,Bergamo,16,Fara Olivana con Sola,16097,1293,11,4.2,6.8,1.61904761904762,0.525908739365816,12,19,7,541.376643464811
Italy,Lombardy,3,Bergamo,16,Filago,16098,3132,15,7,8,1.14285714285714,0.255427841634738,38,40,2,63.8569604086846
Italy,Lombardy,3,Bergamo,16,Fino del Monte,16099,1130,14,3.2,10.8,3.375,0.955752212389381,15,18,3,265.486725663717
Italy,Lombardy,3,Bergamo,16,Fiorano al Serio,16100,2987,51,9,42,4.66666666666667,1.40609306996987,56,56,0,0
Italy,Lombardy,3,Bergamo,16,Fontanella,16101,4492,26,17,9,0.529411764705882,0.200356188780053,32,35,3,66.7853962600178
Italy,Lombardy,3,Bergamo,16,Fonteno,16102,587,15,2.4,12.6,5.25,2.14650766609881,8,9,1,170.357751277683
Italy,Lombardy,3,Bergamo,16,Foresto Sparso,16104,3119,18,9.2,8.8,0.956521739130435,0.282141712087207,38,41,3,96.1846745751844
Italy,Lombardy,3,Bergamo,16,Fornovo San Giovanni,16105,3436,19,9.4,9.6,1.02127659574468,0.279394644935972,32,39,7,203.72526193248
Italy,Lombardy,3,Bergamo,16,Gandellino,16107,992,14,3,11,3.66666666666667,1.10887096774194,12,13,1,100.806451612903
Italy,Lombardy,3,Bergamo,16,Gandino,16108,5386,69,25.4,43.6,1.71653543307087,0.809506126995915,87,90,3,55.6999628666914
Italy,Lombardy,3,Bergamo,16,Gandosso,16109,1457,11,2.4,8.6,3.58333333333333,0.59025394646534,23,25,2,137.268359643102
Italy,Lombardy,3,Bergamo,16,Gaverina Terme,16110,855,8,3.4,4.6,1.35294117647059,0.538011695906433,11,12,1,116.959064327485
Italy,Lombardy,3,Bergamo,16,Gazzaniga,16111,5018,99,22.2,76.8,3.45945945945946,1.53049023515345,130,133,3,59.7847748106815
Italy,Lombardy,3,Bergamo,16,Ghisalba,16113,6173,31,9.8,21.2,2.16326530612245,0.343431070792159,49,57,8,129.596630487607
Italy,Lombardy,3,Bergamo,16,Gorlago,16114,5172,38,14.8,23.2,1.56756756756757,0.448569218870843,75,76,1,19.3348801237432
Italy,Lombardy,3,Bergamo,16,Gorle,16115,6519,60,17,43,2.52941176470588,0.659610369688603,82,94,12,184.077312471238
Italy,Lombardy,3,Bergamo,16,Gorno,16116,1554,18,6,12,2,0.772200772200772,36,37,1,64.3500643500644
Italy,Lombardy,3,Bergamo,16,Grassobbio,16117,6460,53,17.8,35.2,1.97752808988764,0.544891640866873,91,95,4,61.9195046439629
Italy,Lombardy,3,Bergamo,16,Gromo,16118,1201,14,4.4,9.6,2.18181818181818,0.799333888426311,34,34,0,0
Italy,Lombardy,3,Bergamo,16,Grone,16119,912,5,2.4,2.6,1.08333333333333,0.285087719298246,11,11,0,0
Italy,Lombardy,3,Bergamo,16,Grumello del Monte,16120,7411,80,18.4,61.6,3.34782608695652,0.831196869518284,124,139,15,202.401835109972
Italy,Lombardy,3,Bergamo,16,Isola di Fondra,16121,173,2,1,1,1,0.578034682080925,4,5,1,578.034682080925
Italy,Lombardy,3,Bergamo,16,Isso,16122,654,5,1.6,3.4,2.125,0.519877675840979,5,8,3,458.715596330275
Italy,Lombardy,3,Bergamo,16,Leffe,16124,4421,75,15.8,59.2,3.74683544303797,1.33906356028048,78,82,4,90.4772675865189
Italy,Lombardy,3,Bergamo,16,Lenna,16125,598,12,3.8,8.2,2.15789473684211,1.37123745819398,13,13,0,0
Italy,Lombardy,3,Bergamo,16,Levate,16126,3765,25,8.2,16.8,2.04878048780488,0.446215139442231,50,53,3,79.6812749003984
Italy,Lombardy,3,Bergamo,16,Locatello,16127,812,3,2.6,0.4,0.153846153846154,0.0492610837438424,14,14,0,0
Italy,Lombardy,3,Bergamo,16,Lovere,16128,5193,62,27.6,34.4,1.2463768115942,0.662430194492586,68,94,26,500.673984209513
Italy,Lombardy,3,Bergamo,16,Lurano,16129,2847,15,7.4,7.6,1.02702702702703,0.266947664207938,33,37,4,140.498770635757
Italy,Lombardy,3,Bergamo,16,Luzzana,16130,896,4,1.2,2.8,2.33333333333333,0.3125,9,9,0,0
Italy,Lombardy,3,Bergamo,16,Madone,16131,4002,28,7.6,20.4,2.68421052631579,0.509745127436282,41,45,4,99.9500249875062
