comune,comune_code,date,cases
Arluno,15010,21/10/2020,134
Arosio,13012,21/10/2020,121
Arsago Seprio,12005,21/10/2020,52
Artogne,17007,21/10/2020,92
Arzago d'Adda,16013,21/10/2020,21
Asola,20002,21/10/2020,139
Assago,15011,21/10/2020,79
Asso,13013,21/10/2020,41
Aviatico,16015,21/10/2020,11
Azzanello,19004,21/10/2020,14
Azzano Mella,17008,21/10/2020,32
Azzano San Paolo,16016,21/10/2020,101
Azzate,12006,21/10/2020,36
Azzio,12007,21/10/2020,4
Azzone,16017,21/10/2020,5
Bagnaria,18007,21/10/2020,6
Bagnatica,16018,21/10/2020,56
Bagnolo Cremasco,19005,21/10/2020,70
Bagnolo Mella,17009,21/10/2020,201
Bagnolo San Vito,20003,21/10/2020,58
Bagolino,17010,21/10/2020,72
Ballabio,97004,21/10/2020,55
Baranzate,15250,21/10/2020,160
Barasso,12008,21/10/2020,11
Barbariga,17011,21/10/2020,52
Barbata,16019,21/10/2020,5
Barbianello,18008,21/10/2020,5
Bardello,12009,21/10/2020,15
Bareggio,15012,21/10/2020,173
Barghe,17012,21/10/2020,10
Bariano,16020,21/10/2020,38
Barlassina,108005,21/10/2020,94
Barzago,97005,21/10/2020,19
Barzana,16021,21/10/2020,30
Barzanò,97006,21/10/2020,33
Barzio,97007,21/10/2020,11
Bascapè,18009,21/10/2020,13
Basiano,15014,21/10/2020,41
Basiglio,15015,21/10/2020,103
Bassano Bresciano,17013,21/10/2020,32
Bastida Pancarana,18011,21/10/2020,21
Battuda,18012,21/10/2020,5
Bedizzole,17014,21/10/2020,141
Bedulita,16022,21/10/2020,7
Belgioioso,18013,21/10/2020,165
Bellagio,13250,21/10/2020,61
Bellano,97008,21/10/2020,54
Bellinzago Lombardo,15016,21/10/2020,28
Bellusco,108006,21/10/2020,85
Berbenno,16023,21/10/2020,30
Berbenno di Valtellina,14007,21/10/2020,66
Beregazzo con Figliaro,13022,21/10/2020,88
Bereguardo,18014,21/10/2020,18
Bergamo,16024,21/10/2020,2242
Berlingo,17015,21/10/2020,29
Bernareggio,108007,21/10/2020,138
Bernate Ticino,15019,21/10/2020,11
Bertonico,98002,21/10/2020,11
Berzo Demo,17016,21/10/2020,32
Berzo Inferiore,17017,21/10/2020,59
Berzo San Fermo,16025,21/10/2020,23
Besana in Brianza,108008,21/10/2020,201
Besano,12011,21/10/2020,33
Besate,15022,21/10/2020,14
Besnate,12012,21/10/2020,26
Besozzo,12013,21/10/2020,48
Biandronno,12014,21/10/2020,19
Bianzano,16026,21/10/2020,9
Bianzone,14008,21/10/2020,20
Biassono,108009,21/10/2020,179
Bienno,17018,21/10/2020,99
Binago,13023,21/10/2020,29
Binasco,15024,21/10/2020,155
Bione,17019,21/10/2020,23
Bisuschio,12015,21/10/2020,25
Bizzarone,13024,21/10/2020,5
Blevio,13026,21/10/2020,9
Bodio Lomnago,12016,21/10/2020,40
Boffalora d'Adda,98003,21/10/2020,20
Boffalora sopra Ticino,15026,21/10/2020,42
Bolgare,16028,21/10/2020,74
Bollate,15027,21/10/2020,471
Boltiere,16029,21/10/2020,70
Bonate Sopra,16030,21/10/2020,110
Bonate Sotto,16031,21/10/2020,66
Bonemerse,19006,21/10/2020,48
Bordolano,19007,21/10/2020,18
Borgarello,18015,21/10/2020,31
Borghetto Lodigiano,98004,21/10/2020,163
Borgo di Terzo,16032,21/10/2020,15
Borgo Mantovano,20072,21/10/2020,40
Borgo Priolo,18016,21/10/2020,14
Borgo San Giacomo,17020,21/10/2020,105
Borgo San Giovanni,98005,21/10/2020,30
Borgo San Siro,18018,21/10/2020,9
Borgo Virgilio,20071,21/10/2020,179
Borgocarbonara,20073,21/10/2020,6
Borgoratto Mormorolo,18017,21/10/2020,6
Borgosatollo,17021,21/10/2020,174
Bormio,14009,21/10/2020,69
Bornasco,18019,21/10/2020,24
Borno,17022,21/10/2020,82
Bosisio Parini,97009,21/10/2020,26
Bosnasco,18020,21/10/2020,4
Bossico,16033,21/10/2020,10
Bottanuco,16034,21/10/2020,60
Botticino,17023,21/10/2020,166
Bovegno,17024,21/10/2020,25
Bovezzo,17025,21/10/2020,93
Bovisio-Masciago,108010,21/10/2020,143
Bozzolo,20007,21/10/2020,47
Bracca,16035,21/10/2020,10
Brallo di Pregola,18021,21/10/2020,6
Brandico,17026,21/10/2020,14
Branzi,16036,21/10/2020,5
Braone,17027,21/10/2020,9
Brebbia,12017,21/10/2020,22
Bregano,12018,21/10/2020,10
Bregnano,13028,21/10/2020,53
Brembate,16037,21/10/2020,86
Brembate di Sopra,16038,21/10/2020,135
Brembio,98006,21/10/2020,50
Breme,18022,21/10/2020,8
Brenna,13029,21/10/2020,18
Breno,17028,21/10/2020,135
Brenta,12019,21/10/2020,14
Brescia,17029,21/10/2020,2897
Bressana Bottarone,18023,21/10/2020,37
Bresso,15032,21/10/2020,474
Brignano Gera d'Adda,16040,21/10/2020,87
Brione,17030,21/10/2020,7
Briosco,108011,21/10/2020,52
Brissago-Valtravaglia,12022,21/10/2020,9
Brivio,97010,21/10/2020,74
Broni,18024,21/10/2020,143
Brugherio,108012,21/10/2020,452
Brunate,13032,21/10/2020,13
Brunello,12023,21/10/2020,4
Brusaporto,16042,21/10/2020,71
Brusimpiano,12024,21/10/2020,8
Bubbiano,15035,21/10/2020,19
Buccinasco,15036,21/10/2020,265
Buglio in Monte,14010,21/10/2020,8
Buguggiate,12025,21/10/2020,9
Bulciago,97011,21/10/2020,23
Bulgarograsso,13034,21/10/2020,15
Burago di Molgora,108013,21/10/2020,22
Buscate,15038,21/10/2020,31
Busnago,108051,21/10/2020,118
Bussero,15040,21/10/2020,115
Busto Arsizio,12026,21/10/2020,667
Busto Garolfo,15041,21/10/2020,125
Cabiate,13035,21/10/2020,50
Cadegliano-Viconago,12027,21/10/2020,20
Cadorago,13036,21/10/2020,51
Cadrezzate con Osmate,12143,21/10/2020,15
Caglio,13037,21/10/2020,5
Caino,17031,21/10/2020,14
Caiolo,14011,21/10/2020,6
Cairate,12029,21/10/2020,49
Calcinate,16043,21/10/2020,63
Calcinato,17032,21/10/2020,121
Calcio,16044,21/10/2020,55
Calco,97012,21/10/2020,64
Calolziocorte,97013,21/10/2020,187
Calusco d'Adda,16046,21/10/2020,145
Calvagese della Riviera,17033,21/10/2020,22
Calvatone,19009,21/10/2020,20
Calvenzano,16047,21/10/2020,64
Calvignasco,15042,21/10/2020,7
Calvisano,17034,21/10/2020,118
Cambiago,15044,21/10/2020,50
Camerata Cornello,16048,21/10/2020,10
Camisano,19010,21/10/2020,20
Campagnola Cremasca,19011,21/10/2020,7
Camparada,108014,21/10/2020,19
Campione d'Italia,13040,21/10/2020,9
Campodolcino,14012,21/10/2020,6
Campospinoso,18026,21/10/2020,54
Candia Lomellina,18027,21/10/2020,19
Canegrate,15046,21/10/2020,111
Canneto Pavese,18029,21/10/2020,9
Canneto sull'Oglio,20008,21/10/2020,87
Canonica d'Adda,16049,21/10/2020,57
Cantello,12030,21/10/2020,40
Cantù,13041,21/10/2020,522
Canzo,13042,21/10/2020,82
Capergnanica,19012,21/10/2020,30
Capiago Intimiano,13043,21/10/2020,58
Capizzone,16050,21/10/2020,23
Capo di Ponte,17035,21/10/2020,68
Caponago,108052,21/10/2020,64
Cappella Cantone,19013,21/10/2020,11
Cappella de' Picenardi,19014,21/10/2020,5
Capralba,19015,21/10/2020,21
Capriano del Colle,17037,21/10/2020,67
Capriate San Gervasio,16051,21/10/2020,145
Caprino Bergamasco,16052,21/10/2020,37
Capriolo,17038,21/10/2020,135
Carate Brianza,108015,21/10/2020,246
Carate Urio,13044,21/10/2020,10
Caravaggio,16053,21/10/2020,195
Caravate,12031,21/10/2020,14
Carbonara al Ticino,18030,21/10/2020,10
Carbonate,13045,21/10/2020,7
Cardano al Campo,12032,21/10/2020,84
Carenno,97014,21/10/2020,12
Carimate,13046,21/10/2020,47
Carlazzo,13047,21/10/2020,18
Carnago,12033,21/10/2020,43
Carnate,108016,21/10/2020,89
Carobbio degli Angeli,16055,21/10/2020,42
Caronno Pertusella,12034,21/10/2020,177
Caronno Varesino,12035,21/10/2020,22
Carpenedolo,17039,21/10/2020,228
Carpiano,15050,21/10/2020,28
Carugate,15051,21/10/2020,176
Carugo,13048,21/10/2020,44
Carvico,16057,21/10/2020,50
Casalbuttano ed Uniti,19016,21/10/2020,166
Casale Cremasco-Vidolasco,19017,21/10/2020,23
Casale Litta,12036,21/10/2020,12
Casaletto Ceredano,19018,21/10/2020,16
Casaletto di Sopra,19019,21/10/2020,7
Casaletto Lodigiano,98008,21/10/2020,24
Casaletto Vaprio,19020,21/10/2020,36
Casalmaggiore,19021,21/10/2020,345
Casalmaiocco,98009,21/10/2020,40
Casalmorano,19022,21/10/2020,57
Casalmoro,20010,21/10/2020,30
Casaloldo,20011,21/10/2020,40
Casalpusterlengo,98010,21/10/2020,329
Casalromano,20012,21/10/2020,21
Casalzuigno,12037,21/10/2020,8
Casargo,97015,21/10/2020,4
Casarile,15055,21/10/2020,37
Casatenovo,97016,21/10/2020,157
Casatisma,18032,21/10/2020,17
Casazza,16058,21/10/2020,70
Casciago,12038,21/10/2020,23
Casei Gerola,18033,21/10/2020,64
Caselle Landi,98011,21/10/2020,29
Caselle Lurani,98012,21/10/2020,60
Casirate d'Adda,16059,21/10/2020,40
Caslino d'Erba,13052,21/10/2020,14
Casnate con Bernate,13053,21/10/2020,45
Casnigo,16060,21/10/2020,65
Casorate Primo,18034,21/10/2020,100
Casorate Sempione,12039,21/10/2020,42
Casorezzo,15058,21/10/2020,52
Caspoggio,14013,21/10/2020,24
Cassago Brianza,97017,21/10/2020,34
Cassano d'Adda,15059,21/10/2020,230
Cassano Magnago,12040,21/10/2020,119
Cassina de' Pecchi,15060,21/10/2020,154
Cassina Rizzardi,13055,21/10/2020,39
Cassinetta di Lugagnano,15061,21/10/2020,15
Cassolnovo,18035,21/10/2020,95
Castana,18036,21/10/2020,13
Castano Primo,15062,21/10/2020,72
Casteggio,18037,21/10/2020,81
Castegnato,17040,21/10/2020,112
Castel d'Ario,20014,21/10/2020,23
Castel Gabbiano,19024,21/10/2020,5
Castel Goffredo,20015,21/10/2020,143
Castel Mella,17042,21/10/2020,124
Castel Rozzone,16063,21/10/2020,45
Castelbelforte,20013,21/10/2020,10
Castelcovati,17041,21/10/2020,90
Casteldidone,19023,21/10/2020,5
Castelgerundo,98062,21/10/2020,41
Castellanza,12042,21/10/2020,118
Castelleone,19025,21/10/2020,296
Castelletto di Branduzzo,18038,21/10/2020,10
Castelli Calepio,16062,21/10/2020,137
Castello Cabiaglio,12043,21/10/2020,5
Castello dell'Acqua,14014,21/10/2020,4
Castello di Brianza,97019,21/10/2020,16
Castellucchio,20016,21/10/2020,43
Castelmarte,13058,21/10/2020,9
Castelnovetto,18040,21/10/2020,4
Castelnuovo Bocca d'Adda,98013,21/10/2020,41
Castelseprio,12044,21/10/2020,9
Castelveccana,12045,21/10/2020,8
Castelverde,19026,21/10/2020,135
Castenedolo,17043,21/10/2020,211
Castiglione d'Adda,98014,21/10/2020,254
Castiglione delle Stiviere,20017,21/10/2020,384
Castiglione Olona,12046,21/10/2020,42
Castione Andevenno,14015,21/10/2020,14
Castione della Presolana,16064,21/10/2020,73
Castiraga Vidardo,98015,21/10/2020,30
Casto,17044,21/10/2020,27
Castrezzato,17045,21/10/2020,84
Castro,16065,21/10/2020,18
Castronno,12047,21/10/2020,25
