comune,comune_code,date,cases
Abbadia Cerreto,98001,25/10/2020,6
Abbadia Lariana,97001,25/10/2020,24
Abbiategrasso,15002,25/10/2020,552
Acquafredda,17001,25/10/2020,26
Acquanegra Cremonese,19001,25/10/2020,44
Acquanegra sul Chiese,20001,25/10/2020,49
Adrara San Martino,16001,25/10/2020,16
Adro,17002,25/10/2020,109
Agnadello,19002,25/10/2020,59
Agnosine,17003,25/10/2020,32
Agrate Brianza,108001,25/10/2020,179
Aicurzio,108002,25/10/2020,13
Airuno,97002,25/10/2020,25
Albairate,15005,25/10/2020,31
Albano Sant'Alessandro,16003,25/10/2020,92
Albavilla,13003,25/10/2020,91
Albese con Cassano,13004,25/10/2020,219
Albiate,108003,25/10/2020,63
Albino,16004,25/10/2020,496
Albiolo,13005,25/10/2020,17
Albizzate,12002,25/10/2020,35
Albonese,18003,25/10/2020,38
Albosaggia,14002,25/10/2020,17
Albuzzano,18004,25/10/2020,97
Alfianello,17004,25/10/2020,43
Algua,16248,25/10/2020,10
Almè,16005,25/10/2020,84
Almenno San Bartolomeo,16006,25/10/2020,82
Almenno San Salvatore,16007,25/10/2020,81
Alserio,13006,25/10/2020,15
Alta Valle Intelvi,13253,25/10/2020,45
Alzano Lombardo,16008,25/10/2020,278
Alzate Brianza,13007,25/10/2020,72
Ambivere,16009,25/10/2020,28
Andalo Valtellino,14003,25/10/2020,4
Anfo,17005,25/10/2020,15
Angera,12003,25/10/2020,46
Angolo Terme,17006,25/10/2020,40
Annicco,19003,25/10/2020,61
Annone di Brianza,97003,25/10/2020,22
Antegnate,16010,25/10/2020,21
Anzano del Parco,13009,25/10/2020,23
Appiano Gentile,13010,25/10/2020,87
Aprica,14004,25/10/2020,11
Arcene,16011,25/10/2020,65
Arcisate,12004,25/10/2020,87
Arconate,15007,25/10/2020,87
Arcore,108004,25/10/2020,216
Ardenno,14005,25/10/2020,51
Ardesio,16012,25/10/2020,45
Arena Po,18005,25/10/2020,22
Arese,15009,25/10/2020,285
Argegno,13011,25/10/2020,7
Arluno,15010,25/10/2020,163
Arosio,13012,25/10/2020,132
Arsago Seprio,12005,25/10/2020,61
Artogne,17007,25/10/2020,93
Arzago d'Adda,16013,25/10/2020,26
Asola,20002,25/10/2020,143
Assago,15011,25/10/2020,117
Asso,13013,25/10/2020,50
Aviatico,16015,25/10/2020,11
Azzanello,19004,25/10/2020,14
Azzano Mella,17008,25/10/2020,33
Azzano San Paolo,16016,25/10/2020,102
Azzate,12006,25/10/2020,42
Azzio,12007,25/10/2020,4
Azzone,16017,25/10/2020,5
Badia Pavese,18006,25/10/2020,6
Bagnaria,18007,25/10/2020,7
Bagnatica,16018,25/10/2020,59
Bagnolo Cremasco,19005,25/10/2020,75
Bagnolo Mella,17009,25/10/2020,204
Bagnolo San Vito,20003,25/10/2020,69
Bagolino,17010,25/10/2020,73
Ballabio,97004,25/10/2020,60
Baranzate,15250,25/10/2020,182
Barasso,12008,25/10/2020,13
Barbariga,17011,25/10/2020,52
Barbata,16019,25/10/2020,5
Barbianello,18008,25/10/2020,5
