comune,comune_code,date,cases
Abbadia Cerreto,98001,01/09/2020,5
Abbadia Lariana,97001,01/09/2020,18
Abbiategrasso,15002,01/09/2020,339
Acquafredda,17001,01/09/2020,24
Acquanegra Cremonese,19001,01/09/2020,39
Acquanegra sul Chiese,20001,01/09/2020,40
Adrara San Martino,16001,01/09/2020,16
Adro,17002,01/09/2020,103
Agnadello,19002,01/09/2020,45
Agnosine,17003,01/09/2020,27
Agrate Brianza,108001,01/09/2020,109
Aicurzio,108002,01/09/2020,10
Airuno,97002,01/09/2020,20
Albairate,15005,01/09/2020,13
Albano Sant'Alessandro,16003,01/09/2020,90
Albavilla,13003,01/09/2020,54
Albese con Cassano,13004,01/09/2020,201
Albiate,108003,01/09/2020,28
Albino,16004,01/09/2020,483
Albiolo,13005,01/09/2020,4
Albizzate,12002,01/09/2020,18
Albonese,18003,01/09/2020,38
Albosaggia,14002,01/09/2020,14
Albuzzano,18004,01/09/2020,84
Alfianello,17004,01/09/2020,42
Algua,16248,01/09/2020,10
Almè,16005,01/09/2020,80
Almenno San Bartolomeo,16006,01/09/2020,66
Almenno San Salvatore,16007,01/09/2020,76
Alserio,13006,01/09/2020,11
Alta Valle Intelvi,13253,01/09/2020,35
Alzano Lombardo,16008,01/09/2020,265
Alzate Brianza,13007,01/09/2020,48
Ambivere,16009,01/09/2020,27
Anfo,17005,01/09/2020,4
Angera,12003,01/09/2020,10
Angolo Terme,17006,01/09/2020,39
Annicco,19003,01/09/2020,59
Annone di Brianza,97003,01/09/2020,17
Antegnate,16010,01/09/2020,16
Anzano del Parco,13009,01/09/2020,7
Appiano Gentile,13010,01/09/2020,55
Aprica,14004,01/09/2020,9
Arcene,16011,01/09/2020,61
Arcisate,12004,01/09/2020,30
Arconate,15007,01/09/2020,42
Arcore,108004,01/09/2020,122
Ardenno,14005,01/09/2020,45
Ardesio,16012,01/09/2020,44
Arena Po,18005,01/09/2020,19
Arese,15009,01/09/2020,152
Argegno,13011,01/09/2020,4
Arluno,15010,01/09/2020,68
Arosio,13012,01/09/2020,104
Arsago Seprio,12005,01/09/2020,17
Artogne,17007,01/09/2020,89
Arzago d'Adda,16013,01/09/2020,17
Asola,20002,01/09/2020,130
Assago,15011,01/09/2020,40
Asso,13013,01/09/2020,31
Aviatico,16015,01/09/2020,10
Azzanello,19004,01/09/2020,14
Azzano Mella,17008,01/09/2020,33
Azzano San Paolo,16016,01/09/2020,95
Azzate,12006,01/09/2020,11
Azzone,16017,01/09/2020,5
Bagnaria,18007,01/09/2020,6
Bagnatica,16018,01/09/2020,52
Bagnolo Cremasco,19005,01/09/2020,50
Bagnolo Mella,17009,01/09/2020,190
Bagnolo San Vito,20003,01/09/2020,53
Bagolino,17010,01/09/2020,72
Ballabio,97004,01/09/2020,42
Baranzate,15250,01/09/2020,78
Barbariga,17011,01/09/2020,48
Barbata,16019,01/09/2020,5
Barbianello,18008,01/09/2020,5
Bardello,12009,01/09/2020,5
Bareggio,15012,01/09/2020,101
Barghe,17012,01/09/2020,9
Bariano,16020,01/09/2020,36
Barlassina,108005,01/09/2020,49
Barzago,97005,01/09/2020,16
Barzana,16021,01/09/2020,30
Barzanò,97006,01/09/2020,26
Barzio,97007,01/09/2020,9
Bascapè,18009,01/09/2020,12
Basiano,15014,01/09/2020,34
Basiglio,15015,01/09/2020,47
Bassano Bresciano,17013,01/09/2020,29
Bastida Pancarana,18011,01/09/2020,14
Battuda,18012,01/09/2020,4
Bedizzole,17014,01/09/2020,118
Bedulita,16022,01/09/2020,6
Belgioioso,18013,01/09/2020,140
Bellagio,13250,01/09/2020,58
Bellano,97008,01/09/2020,45
Bellinzago Lombardo,15016,01/09/2020,19
Bellusco,108006,01/09/2020,68
Berbenno,16023,01/09/2020,28
Berbenno di Valtellina,14007,01/09/2020,63
Beregazzo con Figliaro,13022,01/09/2020,81
Bereguardo,18014,01/09/2020,15
Bergamo,16024,01/09/2020,1994
Berlingo,17015,01/09/2020,29
Bernareggio,108007,01/09/2020,83
Bernate Ticino,15019,01/09/2020,8
Bertonico,98002,01/09/2020,7
Berzo Demo,17016,01/09/2020,31
Berzo Inferiore,17017,01/09/2020,59
Berzo San Fermo,16025,01/09/2020,22
Besana in Brianza,108008,01/09/2020,157
Besano,12011,01/09/2020,23
Besate,15022,01/09/2020,7
Besnate,12012,01/09/2020,18
Besozzo,12013,01/09/2020,30
Biandronno,12014,01/09/2020,6
Bianzano,16026,01/09/2020,9
Bianzone,14008,01/09/2020,18
Biassono,108009,01/09/2020,110
Bienno,17018,01/09/2020,94
Binago,13023,01/09/2020,18
Binasco,15024,01/09/2020,133
Bione,17019,01/09/2020,21
Bisuschio,12015,01/09/2020,13
Blevio,13026,01/09/2020,9
Boffalora d'Adda,98003,01/09/2020,15
Boffalora sopra Ticino,15026,01/09/2020,20
Bolgare,16028,01/09/2020,72
Bollate,15027,01/09/2020,234
Boltiere,16029,01/09/2020,56
Bonate Sopra,16030,01/09/2020,96
Bonate Sotto,16031,01/09/2020,58
Bonemerse,19006,01/09/2020,41
Bordolano,19007,01/09/2020,18
Borgarello,18015,01/09/2020,22
Borghetto Lodigiano,98004,01/09/2020,151
Borgo di Terzo,16032,01/09/2020,15
Borgo Mantovano,20072,01/09/2020,38
Borgo Priolo,18016,01/09/2020,8
Borgo San Giacomo,17020,01/09/2020,95
Borgo San Giovanni,98005,01/09/2020,24
Borgo San Siro,18018,01/09/2020,7
Borgo Virgilio,20071,01/09/2020,154
Borgocarbonara,20073,01/09/2020,6
Borgosatollo,17021,01/09/2020,156
Bormio,14009,01/09/2020,44
Bornasco,18019,01/09/2020,14
Borno,17022,01/09/2020,81
Bosisio Parini,97009,01/09/2020,25
Bossico,16033,01/09/2020,9
Bottanuco,16034,01/09/2020,57
Botticino,17023,01/09/2020,144
Bovegno,17024,01/09/2020,21
Bovezzo,17025,01/09/2020,87
Bovisio-Masciago,108010,01/09/2020,74
Bozzolo,20007,01/09/2020,41
Bracca,16035,01/09/2020,10
Brallo di Pregola,18021,01/09/2020,5
Brandico,17026,01/09/2020,14
Branzi,16036,01/09/2020,5
Braone,17027,01/09/2020,9
Brebbia,12017,01/09/2020,14
Bregnano,13028,01/09/2020,26
Brembate,16037,01/09/2020,82
Brembate di Sopra,16038,01/09/2020,126
Brembio,98006,01/09/2020,37
Breme,18022,01/09/2020,8
Brenna,13029,01/09/2020,15
Breno,17028,01/09/2020,130
Brenta,12019,01/09/2020,5
Brescia,17029,01/09/2020,2494
Bressana Bottarone,18023,01/09/2020,28
Bresso,15032,01/09/2020,361
Brignano Gera d'Adda,16040,01/09/2020,80
Brione,17030,01/09/2020,6
Briosco,108011,01/09/2020,28
Brissago-Valtravaglia,12022,01/09/2020,4
Brivio,97010,01/09/2020,69
Broni,18024,01/09/2020,119
Brugherio,108012,01/09/2020,281
Brunate,13032,01/09/2020,9
Brusaporto,16042,01/09/2020,64
Bubbiano,15035,01/09/2020,10
Buccinasco,15036,01/09/2020,118
Buglio in Monte,14010,01/09/2020,6
Buguggiate,12025,01/09/2020,4
Bulciago,97011,01/09/2020,16
Bulgarograsso,13034,01/09/2020,11
Burago di Molgora,108013,01/09/2020,13
Buscate,15038,01/09/2020,16
Busnago,108051,01/09/2020,101
Bussero,15040,01/09/2020,71
Busto Arsizio,12026,01/09/2020,421
Busto Garolfo,15041,01/09/2020,82
Cabiate,13035,01/09/2020,30
Cadegliano-Viconago,12027,01/09/2020,13
Cadorago,13036,01/09/2020,32
Cadrezzate con Osmate,12143,01/09/2020,5
Caglio,13037,01/09/2020,5
Caino,17031,01/09/2020,12
Caiolo,14011,01/09/2020,4
Cairate,12029,01/09/2020,16
Calcinate,16043,01/09/2020,62
Calcinato,17032,01/09/2020,103
Calcio,16044,01/09/2020,48
Calco,97012,01/09/2020,44
Calolziocorte,97013,01/09/2020,153
Calusco d'Adda,16046,01/09/2020,116
Calvagese della Riviera,17033,01/09/2020,17
Calvatone,19009,01/09/2020,18
Calvenzano,16047,01/09/2020,61
Calvisano,17034,01/09/2020,109
Cambiago,15044,01/09/2020,29
Camerata Cornello,16048,01/09/2020,11
Camisano,19010,01/09/2020,16
Campagnola Cremasca,19011,01/09/2020,4
Camparada,108014,01/09/2020,10
Campione d'Italia,13040,01/09/2020,4
Campospinoso,18026,01/09/2020,43
Candia Lomellina,18027,01/09/2020,17
Canegrate,15046,01/09/2020,56
Canneto Pavese,18029,01/09/2020,8
Canneto sull'Oglio,20008,01/09/2020,85
Canonica d'Adda,16049,01/09/2020,51
Cantello,12030,01/09/2020,22
Cantù,13041,01/09/2020,419
Canzo,13042,01/09/2020,75
Capergnanica,19012,01/09/2020,26
Capiago Intimiano,13043,01/09/2020,42
Capizzone,16050,01/09/2020,21
Capo di Ponte,17035,01/09/2020,66
Caponago,108052,01/09/2020,40
Cappella Cantone,19013,01/09/2020,11
Cappella de' Picenardi,19014,01/09/2020,5
Capralba,19015,01/09/2020,21
Capriano del Colle,17037,01/09/2020,65
Capriate San Gervasio,16051,01/09/2020,128
Caprino Bergamasco,16052,01/09/2020,37
Capriolo,17038,01/09/2020,130
Carate Brianza,108015,01/09/2020,192
Carate Urio,13044,01/09/2020,7
Caravaggio,16053,01/09/2020,169
Caravate,12031,01/09/2020,9
Carbonara al Ticino,18030,01/09/2020,9
Cardano al Campo,12032,01/09/2020,55
Carenno,97014,01/09/2020,11
Carimate,13046,01/09/2020,25
Carlazzo,13047,01/09/2020,12
Carnago,12033,01/09/2020,17
Carnate,108016,01/09/2020,59
Carobbio degli Angeli,16055,01/09/2020,36
Caronno Pertusella,12034,01/09/2020,110
Caronno Varesino,12035,01/09/2020,11
Carpenedolo,17039,01/09/2020,211
Carpiano,15050,01/09/2020,19
Carugate,15051,01/09/2020,130
Carugo,13048,01/09/2020,28
Carvico,16057,01/09/2020,43
Casalbuttano ed Uniti,19016,01/09/2020,163
Casale Cremasco-Vidolasco,19017,01/09/2020,19
Casale Litta,12036,01/09/2020,7
Casaletto Ceredano,19018,01/09/2020,15
Casaletto di Sopra,19019,01/09/2020,7
Casaletto Lodigiano,98008,01/09/2020,12
Casaletto Vaprio,19020,01/09/2020,34
Casalmaggiore,19021,01/09/2020,318
Casalmaiocco,98009,01/09/2020,31
Casalmorano,19022,01/09/2020,55
Casalmoro,20010,01/09/2020,29
Casaloldo,20011,01/09/2020,34
Casalpusterlengo,98010,01/09/2020,290
Casalromano,20012,01/09/2020,18
Casalzuigno,12037,01/09/2020,5
Casarile,15055,01/09/2020,25
Casatenovo,97016,01/09/2020,115
Casatisma,18032,01/09/2020,13
Casazza,16058,01/09/2020,69
Casciago,12038,01/09/2020,11
Casei Gerola,18033,01/09/2020,57
Caselle Landi,98011,01/09/2020,27
Caselle Lurani,98012,01/09/2020,50
Casirate d'Adda,16059,01/09/2020,35
Caslino d'Erba,13052,01/09/2020,12
Casnate con Bernate,13053,01/09/2020,30
Casnigo,16060,01/09/2020,61
Casorate Primo,18034,01/09/2020,71
Casorate Sempione,12039,01/09/2020,17
Casorezzo,15058,01/09/2020,30
Caspoggio,14013,01/09/2020,22
Cassago Brianza,97017,01/09/2020,30
Cassano d'Adda,15059,01/09/2020,198
Cassano Magnago,12040,01/09/2020,61
Cassina de' Pecchi,15060,01/09/2020,120
Cassina Rizzardi,13055,01/09/2020,23
Cassinetta di Lugagnano,15061,01/09/2020,12
Cassolnovo,18035,01/09/2020,65
Castana,18036,01/09/2020,13
Castano Primo,15062,01/09/2020,45
Casteggio,18037,01/09/2020,69
Castegnato,17040,01/09/2020,99
Castel d'Ario,20014,01/09/2020,18
