comune,comune_code,date,cases
Castel Goffredo,20015,01/09/2020,130
Castel Mella,17042,01/09/2020,113
Castel Rozzone,16063,01/09/2020,41
Castelbelforte,20013,01/09/2020,10
Castelcovati,17041,01/09/2020,71
Casteldidone,19023,01/09/2020,5
Castelgerundo,98062,01/09/2020,37
Castellanza,12042,01/09/2020,87
Castelleone,19025,01/09/2020,266
Castelletto di Branduzzo,18038,01/09/2020,9
Castelli Calepio,16062,01/09/2020,132
Castello Cabiaglio,12043,01/09/2020,4
Castello dell'Acqua,14014,01/09/2020,4
Castello di Brianza,97019,01/09/2020,10
Castellucchio,20016,01/09/2020,36
Castelmarte,13058,01/09/2020,4
Castelnovetto,18040,01/09/2020,4
Castelnuovo Bocca d'Adda,98013,01/09/2020,36
Castelverde,19026,01/09/2020,133
Castenedolo,17043,01/09/2020,183
Castiglione d'Adda,98014,01/09/2020,250
Castiglione delle Stiviere,20017,01/09/2020,290
Castiglione Olona,12046,01/09/2020,23
Castione Andevenno,14015,01/09/2020,9
Castione della Presolana,16064,01/09/2020,73
Castiraga Vidardo,98015,01/09/2020,25
Casto,17044,01/09/2020,21
Castrezzato,17045,01/09/2020,78
Castro,16065,01/09/2020,18
Castronno,12047,01/09/2020,12
Cava Manara,18041,01/09/2020,101
Cavaria con Premezzo,12048,01/09/2020,19
Cavenago d'Adda,98017,01/09/2020,27
Cavenago di Brianza,108017,01/09/2020,82
Cavernago,16066,01/09/2020,21
Cavriana,20018,01/09/2020,39
Cazzago San Martino,17046,01/09/2020,136
Cazzano Sant'Andrea,16067,01/09/2020,27
Cedegolo,17047,01/09/2020,22
Cedrasco,14016,01/09/2020,5
Cella Dati,19028,01/09/2020,6
Cellatica,17048,01/09/2020,49
Cenate Sopra,16068,01/09/2020,27
Cenate Sotto,16069,01/09/2020,43
Cene,16070,01/09/2020,63
Centro Valle Intelvi,13254,01/09/2020,108
Cerano d'Intelvi,13063,01/09/2020,4
Ceranova,18043,01/09/2020,10
Cercino,14017,01/09/2020,6
Ceresara,20019,01/09/2020,16
Cerete,16071,01/09/2020,18
Cergnago,18045,01/09/2020,5
Ceriano Laghetto,108018,01/09/2020,31
Cermenate,13064,01/09/2020,58
Cernobbio,13065,01/09/2020,32
Cernusco Lombardone,97020,01/09/2020,41
Cernusco sul Naviglio,15070,01/09/2020,287
Cerro al Lambro,15071,01/09/2020,26
Cerro Maggiore,15072,01/09/2020,126
Certosa di Pavia,18046,01/09/2020,124
Cerveno,17049,01/09/2020,15
Cervesina,18047,01/09/2020,51
Cervignano d'Adda,98018,01/09/2020,24
Cesana Brianza,97021,01/09/2020,30
Cesano Boscone,15074,01/09/2020,207
Cesano Maderno,108019,01/09/2020,235
Cesate,15076,01/09/2020,130
Ceto,17050,01/09/2020,33
Cevo,17051,01/09/2020,21
Chiari,17052,01/09/2020,277
Chiavenna,14018,01/09/2020,66
Chiesa in Valmalenco,14019,01/09/2020,13
Chieve,19029,01/09/2020,18
Chignolo d'Isola,16072,01/09/2020,32
Chignolo Po,18048,01/09/2020,77
Chiuduno,16073,01/09/2020,66
Chiuro,14020,01/09/2020,13
Cicognolo,19030,01/09/2020,17
Cigognola,18049,01/09/2020,33
Cigole,17053,01/09/2020,36
Cilavegna,18050,01/09/2020,122
Cimbergo,17054,01/09/2020,7
Cingia de' Botti,19031,01/09/2020,89
Cinisello Balsamo,15077,01/09/2020,682
Cino,14021,01/09/2020,4
Cirimido,13068,01/09/2020,8
Cisano Bergamasco,16074,01/09/2020,65
Ciserano,16075,01/09/2020,62
Cislago,12050,01/09/2020,38
Cisliano,15078,01/09/2020,23
Cittiglio,12051,01/09/2020,21
Civate,97022,01/09/2020,59
Cividate al Piano,16076,01/09/2020,77
Cividate Camuno,17055,01/09/2020,49
Civo,14022,01/09/2020,16
Clusone,16077,01/09/2020,191
Coccaglio,17056,01/09/2020,120
Cocquio-Trevisago,12053,01/09/2020,130
Codogno,98019,01/09/2020,425
Cogliate,108020,01/09/2020,40
Colere,16078,01/09/2020,24
Colico,97023,01/09/2020,31
Colle Brianza,97024,01/09/2020,9
Collebeato,17057,01/09/2020,49
Collio,17058,01/09/2020,13
Cologne,17059,01/09/2020,87
Cologno al Serio,16079,01/09/2020,118
Cologno Monzese,15081,01/09/2020,576
Colonno,13074,01/09/2020,6
Colorina,14023,01/09/2020,12
Colturano,15082,01/09/2020,6
Colverde,13251,01/09/2020,16
Colzate,16080,01/09/2020,39
Comazzo,98020,01/09/2020,15
Comerio,12055,01/09/2020,29
Comezzano-Cizzago,17060,01/09/2020,41
Commessaggio,20020,01/09/2020,6
Como,13075,01/09/2020,550
Comun Nuovo,16081,01/09/2020,45
Concesio,17061,01/09/2020,204
Concorezzo,108021,01/09/2020,122
Confienza,18052,01/09/2020,9
Copiano,18053,01/09/2020,9
Corbetta,15085,01/09/2020,114
Cormano,15086,01/09/2020,174
Corna Imagna,16082,01/09/2020,16
Cornale e Bastida,18191,01/09/2020,15
Cornaredo,15087,01/09/2020,111
Cornate d'Adda,108053,01/09/2020,69
Cornegliano Laudense,98021,01/09/2020,37
Corno Giovine,98022,01/09/2020,22
Correzzana,108022,01/09/2020,9
Corrido,13077,01/09/2020,5
Corsico,15093,01/09/2020,257
Corte de' Cortesi con Cignone,19032,01/09/2020,15
Corte de' Frati,19033,01/09/2020,39
Corte Franca,17062,01/09/2020,83
Corte Palasio,98024,01/09/2020,22
Corteno Golgi,17063,01/09/2020,29
Cortenova,97025,01/09/2020,5
Cortenuova,16083,01/09/2020,23
Corteolona e Genzone,18192,01/09/2020,23
Corvino San Quirico,18057,01/09/2020,5
Corzano,17064,01/09/2020,29
Cosio Valtellino,14024,01/09/2020,32
Costa de' Nobili,18058,01/09/2020,6
Costa di Mezzate,16084,01/09/2020,27
Costa Masnaga,97026,01/09/2020,37
Costa Serina,16247,01/09/2020,14
Costa Valle Imagna,16085,01/09/2020,9
Costa Volpino,16086,01/09/2020,97
Covo,16087,01/09/2020,51
Credaro,16088,01/09/2020,31
Credera Rubbiano,19034,01/09/2020,20
Crema,19035,01/09/2020,540
Cremella,97028,01/09/2020,12
Cremeno,97029,01/09/2020,17
Cremona,19036,01/09/2020,1579
Cremosano,19037,01/09/2020,16
Crespiatica,98025,01/09/2020,19
Crotta d'Adda,19038,01/09/2020,15
Cuasso al Monte,12058,01/09/2020,11
Cucciago,13084,01/09/2020,17
Cuggiono,15096,01/09/2020,35
Cugliate-Fabiasco,12059,01/09/2020,10
Cumignano sul Naviglio,19039,01/09/2020,6
Cunardo,12060,01/09/2020,21
Cura Carpignano,18060,01/09/2020,42
Curno,16089,01/09/2020,93
Curtatone,20021,01/09/2020,99
Cusago,15097,01/09/2020,19
Cusano Milanino,15098,01/09/2020,134
Cusio,16090,01/09/2020,5
Cuveglio,12062,01/09/2020,16
Cuvio,12063,01/09/2020,33
Dairago,15099,01/09/2020,18
Dalmine,16091,01/09/2020,328
Darfo Boario Terme,17065,01/09/2020,222
Daverio,12064,01/09/2020,7
Delebio,14026,01/09/2020,19
Dello,17066,01/09/2020,55
Dervio,97030,01/09/2020,17
Desenzano del Garda,17067,01/09/2020,320
Desio,108023,01/09/2020,338
Dizzasco,13087,01/09/2020,38
Dolzago,97031,01/09/2020,15
Domaso,13089,01/09/2020,11
Dongo,13090,01/09/2020,73
Dorno,18061,01/09/2020,75
Dosolo,20022,01/09/2020,43
Dossena,16092,01/09/2020,19
Dovera,19041,01/09/2020,36
Dresano,15101,01/09/2020,32
Dubino,14027,01/09/2020,105
Dumenza,12065,01/09/2020,6
Edolo,17068,01/09/2020,92
Ello,97033,01/09/2020,7
Endine Gaiano,16093,01/09/2020,45
Entratico,16094,01/09/2020,23
Erba,13095,01/09/2020,279
Erbusco,17069,01/09/2020,92
Erve,97034,01/09/2020,5
Esine,17070,01/09/2020,137
Esino Lario,97035,01/09/2020,6
Eupilio,13097,01/09/2020,17
Faggeto Lario,13098,01/09/2020,5
Fagnano Olona,12067,01/09/2020,35
Faloppio,13099,01/09/2020,11
Fara Gera d'Adda,16096,01/09/2020,62
Fara Olivana con Sola,16097,01/09/2020,12
Fenegrò,13100,01/09/2020,9
Ferno,12068,01/09/2020,39
Ferrera Erbognone,18062,01/09/2020,23
Fiesco,19043,01/09/2020,23
Fiesse,17071,01/09/2020,18
Figino Serenza,13101,01/09/2020,30
Filago,16098,01/09/2020,38
Filighera,18063,01/09/2020,6
Fino del Monte,16099,01/09/2020,15
Fino Mornasco,13102,01/09/2020,59
Fiorano al Serio,16100,01/09/2020,56
Flero,17072,01/09/2020,74
Fombio,98026,01/09/2020,39
Fontanella,16101,01/09/2020,32
Fonteno,16102,01/09/2020,8
Forcola,14029,01/09/2020,6
Foresto Sparso,16104,01/09/2020,38
Formigara,19044,01/09/2020,20
Fornovo San Giovanni,16105,01/09/2020,32
Frascarolo,18065,01/09/2020,36
Fusine,14030,01/09/2020,5
Gabbioneta-Binanuova,19045,01/09/2020,22
Gadesco-Pieve Delmona,19046,01/09/2020,28
Gaggiano,15103,01/09/2020,39
Galbiate,97036,01/09/2020,144
Galgagnano,98027,01/09/2020,19
Gallarate,12070,01/09/2020,283
Gambara,17073,01/09/2020,39
Gambolò,18068,01/09/2020,98
Gandellino,16107,01/09/2020,12
Gandino,16108,01/09/2020,87
Gandosso,16109,01/09/2020,23
Garbagnate Milanese,15105,01/09/2020,280
Garbagnate Monastero,97037,01/09/2020,13
Gardone Riviera,17074,01/09/2020,26
Gardone Val Trompia,17075,01/09/2020,151
Gargnano,17076,01/09/2020,12
Garlasco,18069,01/09/2020,131
Garlate,97038,01/09/2020,16
Garzeno,13106,01/09/2020,11
Gavardo,17077,01/09/2020,159
Gaverina Terme,16110,01/09/2020,11
Gavirate,12072,01/09/2020,84
Gazoldo degli Ippoliti,20024,01/09/2020,43
Gazzada Schianno,12073,01/09/2020,17
Gazzaniga,16111,01/09/2020,130
Gazzuolo,20025,01/09/2020,20
Gemonio,12074,01/09/2020,9
Genivolta,19047,01/09/2020,11
Gera Lario,13107,01/09/2020,6
Gerenzago,18071,01/09/2020,17
Gerenzano,12075,01/09/2020,33
Germignaga,12076,01/09/2020,16
Gerre de' Caprioli,19048,01/09/2020,29
Gessate,15106,01/09/2020,67
Ghedi,17078,01/09/2020,226
Ghisalba,16113,01/09/2020,49
Gianico,17079,01/09/2020,45
Giussago,18072,01/09/2020,29
Giussano,108024,01/09/2020,192
Godiasco Salice Terme,18073,01/09/2020,31
Goito,20026,01/09/2020,103
Golasecca,12077,01/09/2020,10
Gombito,19049,01/09/2020,8
Gonzaga,20027,01/09/2020,48
Gordona,14032,01/09/2020,11
Gorgonzola,15108,01/09/2020,174
Gorla Maggiore,12078,01/09/2020,19
Gorla Minore,12079,01/09/2020,89
Gorlago,16114,01/09/2020,75
Gorle,16115,01/09/2020,82
Gornate Olona,12080,01/09/2020,11
Gorno,16116,01/09/2020,36
Gottolengo,17080,01/09/2020,96
Graffignana,98028,01/09/2020,29
Grandate,13110,01/09/2020,23
Grandola ed Uniti,13111,01/09/2020,12
Grantola,12081,01/09/2020,8
Grassobbio,16117,01/09/2020,91
Gravedona ed Uniti,13249,01/09/2020,58
Gravellona Lomellina,18075,01/09/2020,23
Grezzago,15110,01/09/2020,22
Gromo,16118,01/09/2020,34
Grone,16119,01/09/2020,11
Grontardo,19050,01/09/2020,20
Gropello Cairoli,18076,01/09/2020,44
Grosio,14033,01/09/2020,27
Grosotto,14034,01/09/2020,8
Grumello Cremonese ed Uniti,19051,01/09/2020,29
Grumello del Monte,16120,01/09/2020,124
Guanzate,13114,01/09/2020,26
Guardamiglio,98029,01/09/2020,38
Gudo Visconti,15112,01/09/2020,4
Guidizzolo,20028,01/09/2020,90
Gussago,17081,01/09/2020,230
Gussola,19052,01/09/2020,44
Idro,17082,01/09/2020,15
Imbersago,97039,01/09/2020,20
Inarzo,12082,01/09/2020,5
Induno Olona,12083,01/09/2020,25
Introbio,97040,01/09/2020,38
Inverigo,13118,01/09/2020,69
Inverno e Monteleone,18077,01/09/2020,21
Inveruno,15113,01/09/2020,66
Inzago,15114,01/09/2020,122
Iseo,17085,01/09/2020,139
Isola di Fondra,16121,01/09/2020,4
Isola Dovarese,19053,01/09/2020,32
Isorella,17086,01/09/2020,62
Ispra,12084,01/09/2020,15
Isso,16122,01/09/2020,5
Izano,19054,01/09/2020,24
Jerago con Orago,12085,01/09/2020,14
La Valletta Brianza,97092,01/09/2020,35
Lacchiarella,15115,01/09/2020,36
Laglio,13119,01/09/2020,10
Lainate,15116,01/09/2020,176
Lallio,16123,01/09/2020,45
Lambrugo,13121,01/09/2020,14
Landriano,18078,01/09/2020,40
Langosco,18079,01/09/2020,4
Lanzada,14036,01/09/2020,15
Lardirago,18080,01/09/2020,6
Lasnigo,13123,01/09/2020,6
Lavena Ponte Tresa,12086,01/09/2020,13
Laveno-Mombello,12087,01/09/2020,215
Lavenone,17087,01/09/2020,5
Lazzate,108025,01/09/2020,48
Lecco,97042,01/09/2020,471
Leffe,16124,01/09/2020,78
Leggiuno,12088,01/09/2020,15
Legnano,15118,01/09/2020,627
Lenna,16125,01/09/2020,13
Leno,17088,01/09/2020,168
Lentate sul Seveso,108054,01/09/2020,57
Lesmo,108026,01/09/2020,61
Levate,16126,01/09/2020,50
Lezzeno,13126,01/09/2020,21
Lierna,97043,01/09/2020,7
Limbiate,108027,01/09/2020,212
Limido Comasco,13128,01/09/2020,10
Linarolo,18081,01/09/2020,23
Lipomo,13129,01/09/2020,40
Liscate,15122,01/09/2020,34
Lissone,108028,01/09/2020,284
Livigno,14037,01/09/2020,45
Livraga,98030,01/09/2020,74
Locate di Triulzi,15125,01/09/2020,69
Locate Varesino,13131,01/09/2020,10
Locatello,16127,01/09/2020,14
Lodi,98031,01/09/2020,772
Lodi Vecchio,98032,01/09/2020,84
Lodrino,17090,01/09/2020,28
Lograto,17091,01/09/2020,47
Lomagna,97044,01/09/2020,28
Lomazzo,13133,01/09/2020,34
Lomello,18083,01/09/2020,18
Lonate Ceppino,12089,01/09/2020,18
Lonate Pozzolo,12090,01/09/2020,67
Lonato del Garda,17092,01/09/2020,175
Longhena,17093,01/09/2020,11
Longone al Segrino,13134,01/09/2020,16
Losine,17094,01/09/2020,5
Lovere,16128,01/09/2020,68
Lozio,17095,01/09/2020,21
Luino,12092,01/09/2020,39
Luisago,13135,01/09/2020,8
Lumezzane,17096,01/09/2020,240
Lungavilla,18084,01/09/2020,20
Lurago d'Erba,13136,01/09/2020,24
Lurago Marinone,13137,01/09/2020,8
Lurano,16129,01/09/2020,33
Lurate Caccivio,13138,01/09/2020,24
Luvinate,12093,01/09/2020,4
Luzzana,16130,01/09/2020,9
Maccagno con Pino e Veddasca,12142,01/09/2020,5
Macherio,108029,01/09/2020,37
Maclodio,17097,01/09/2020,14
Madignano,19055,01/09/2020,35
Madone,16131,01/09/2020,41
Magenta,15130,01/09/2020,184
Magherno,18085,01/09/2020,9
Magnacavallo,20029,01/09/2020,9
Magnago,15131,01/09/2020,35
Mairago,98034,01/09/2020,6
Mairano,17099,01/09/2020,28
Malagnino,19056,01/09/2020,30
Malegno,17100,01/09/2020,38
Maleo,98035,01/09/2020,96
Malgesso,12095,01/09/2020,6
Malgrate,97045,01/09/2020,28
Malnate,12096,01/09/2020,169
Malonno,17101,01/09/2020,95
Mandello del Lario,97046,01/09/2020,47
Manerba del Garda,17102,01/09/2020,42
Manerbio,17103,01/09/2020,219
Mantova,20030,01/09/2020,407
Mapello,16132,01/09/2020,78
Marcallo con Casone,15134,01/09/2020,39
Marcaria,20031,01/09/2020,112
Marcheno,17104,01/09/2020,46
Marchirolo,12097,01/09/2020,8
Marcignago,18086,01/09/2020,64
Mariana Mantovana,20032,01/09/2020,5
Mariano Comense,13143,01/09/2020,137
Marmentino,17105,01/09/2020,4
Marmirolo,20033,01/09/2020,33
Marnate,12098,01/09/2020,21
Marone,17106,01/09/2020,43
Martignana di Po,19057,01/09/2020,31
Martinengo,16133,01/09/2020,144
Marudo,98036,01/09/2020,10
Marzano,18087,01/09/2020,13
Masate,15136,01/09/2020,23
Maslianico,13144,01/09/2020,10
Massalengo,98037,01/09/2020,37
